NR,Geschlecht,Alter,Nielsen,Bundesland,Arbeitsstatus,Kinder im Haushalt (<18),Haushaltsgröße,Haushaltsnettoeinkommen,Familienstand,Berufs- / Akademische Bildung,Schulbildung,Stadt,Urban (>100k Einw.),PLZ,Land,Platform,Beantwortungsdauer in Sek.,Beantwortungszeit,"1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.",2. Welche dieser Eiskugeln würdest du am ehesten kaufen?,3. Welche dieser Eiskugeln würdest du am ehesten kaufen?,4. Welche dieser Eiskugeln würdest du am ehesten kaufen?,5. Welche dieser Eiskugeln würdest du am ehesten kaufen?,6. Welche dieser Eiskugeln würdest du am ehesten kaufen?,7. Welche dieser Eiskugeln würdest du am ehesten kaufen?,8. Welche dieser Eiskugeln würdest du am ehesten kaufen?,9. Welche dieser Eiskugeln würdest du am ehesten kaufen?,10. Welche dieser Eiskugeln würdest du am ehesten kaufen?,11. Welche dieser Eiskugeln würdest du am ehesten kaufen?,12. Welche dieser Eiskugeln würdest du am ehesten kaufen?,13. Welche dieser Eiskugeln würdest du am ehesten kaufen?,14. Welche dieser Eiskugeln würdest du am ehesten kaufen?,15. Welche dieser Eiskugeln würdest du am ehesten kaufen?,16. Welche dieser Eiskugeln würdest du am ehesten kaufen?,17. Welche dieser Eiskugeln würdest du am ehesten kaufen?,"18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!"
199,m,17,3a,Hessen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,>5000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Weiterstadt,0,64331,DEU,iOS,106,2021-06-18 15:02:10,-,1A,2B,3B,4C,5A,6B,7C,8B,9C,10C,11B,12C,13B,14A,15A,16B,Hai
200,m,34,4,Bayern,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Unterschleissheim,0,85716,DEU,android,260,2021-06-18 14:49:25,-,1A,2B,3A,4C,5B,6A,7C,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
201,m,23,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,<1000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Freising,0,85354,DEU,iOS,78,2021-06-18 14:52:03,-,1B,2B,3B,4C,5C,6C,7C,8A,9A,10A,11A,12B,13A,14A,15A,16B,Hai
202,f,16,5,Berlin,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,<1000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Berlin,1,10115,DEU,iOS,54,2021-06-18 14:45:41,-,1C,2C,3A,4A,5A,6A,7C,8A,9B,10B,11C,12C,13C,14A,15B,16B,Hai
203,f,24,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Muenchen,1,81739,DEU,Android,113,2021-06-18 14:51:24,-,1A,2C,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
204,f,34,6,Brandenburg,Sonstige,Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Ohne Abschluss,Cottbus,0,03044,DEU,iOS,224,2021-06-18 14:48:52,-,1A,2B,3C,4C,5C,6B,7A,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
205,f,35,2,Nordrhein-Westfalen,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Borchen,0,33178,DEU,iOS,137,2021-06-18 14:51:12,-,1A,2B,3A,4C,5C,6A,7A,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
206,m,31,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Wuerselen,0,52146,DEU,Android,130,2021-06-18 14:49:02,-,1B,2C,3C,4B,5A,6B,7B,8B,9C,10A,11A,12C,13C,14B,15B,16C,Hai
207,f,17,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,4000€ bis 5000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Schwerte,0,58239,DEU,iOS,136,2021-06-18 14:48:43,-,1A,2C,3B,4C,5C,6B,7A,8C,9B,10B,11C,12C,13B,14C,15B,16A,Hai
208,f,16,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,>5000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Wolfenbuettel,0,38300,DEU,Android,171,2021-06-18 15:01:59,-,1A,2B,3C,4C,5C,6B,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
209,m,35,1,Schleswig-Holstein,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Gross Pampau,0,21493,DEU,Android,93,2021-06-18 14:58:26,-,1B,2B,3C,4B,5C,6A,7A,8A,9C,10B,11C,12C,13B,14C,15C,16A,Hai
210,f,25,4,Bayern,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Koetzting,0,93444,DEU,iOS,110,2021-06-18 14:49:17,-,1A,2C,3B,4C,5A,6A,7A,8C,9C,10B,11A,12C,13B,14C,15B,16A,Hai
211,m,33,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,4000€ bis 5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Flein,0,74223,DEU,iOS,126,2021-06-18 14:49:59,-,1A,2B,3B,4C,5A,6B,7C,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
212,f,31,3b,Baden-Wuerttemberg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Hauptschulabschluss,Aspach,0,71546,DEU,Android,163,2021-06-18 14:53:58,-,1C,2C,3B,4C,5C,6B,7A,8C,9B,10A,11A,12C,13B,14C,15B,16A,Hai
213,f,29,5,Berlin,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Berlin,1,10553,DEU,Android,185,2021-06-18 14:51:23,-,1A,2B,3C,4C,5C,6A,7C,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
214,f,18,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Aalen,0,73430,DEU,iOS,94,2021-06-18 14:51:15,-,1B,2C,3B,4B,5A,6B,7C,8B,9A,10B,11B,12A,13B,14A,15C,16C,Hai
215,m,20,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Nuernberg,1,90449,DEU,android,155,2021-06-18 14:47:57,-,1A,2C,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
216,f,17,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Ohne Abschluss,Stuttgart,1,70173,DEU,Android,136,2021-06-18 14:53:18,-,1A,2B,3A,4B,5A,6A,7A,8A,9C,10B,11C,12A,13B,14A,15B,16A,Hai
217,f,42,5,Berlin,-,-,-,-,-,-,-,Berlin,1,12623,DEU,Android,343,2021-06-18 14:51:21,-,1A,2C,3B,4C,5C,6B,7A,8C,9B,10B,11C,12C,13B,14C,15B,16A,Hai
218,f,46,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,<1000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Geldern,0,47608,DEU,Android,265,2021-06-18 14:51:42,-,1A,2C,3A,4A,5C,6A,7A,8C,9C,10B,11A,12A,13A,14A,15B,16A,Hai
219,f,58,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Weste,0,29599,DEU,Android,172,2021-06-18 14:47:24,-,1A,2B,3A,4C,5C,6B,7A,8A,9B,10B,11C,12C,13A,14A,15B,16B,Hai
220,m,29,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Buehl,0,77815,DEU,android,221,2021-06-18 14:56:19,-,1A,2B,3C,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
221,m,33,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Meppen,0,49716,DEU,Android,245,2021-06-18 14:59:08,-,1A,2B,3C,4C,5C,6C,7C,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
222,m,16,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Neusaess,0,86356,DEU,iOS,130,2021-06-18 14:49:53,-,1A,2B,3B,4C,5C,6A,7A,8A,9B,10B,11A,12C,13B,14C,15B,16A,Hai
223,f,19,2,Nordrhein-Westfalen,in Rente,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,>5000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Emsdetten,0,48282,DEU,android,79,2021-06-18 14:50:19,-,1A,2C,3A,4B,5A,6B,7A,8A,9C,10A,11A,12B,13A,14C,15B,16C,Hai
224,m,46,3a,Saarland,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Saarlouis,0,66740,DEU,Android,98,2021-06-18 14:57:23,-,1A,2C,3B,4C,5C,6C,7C,8C,9C,10B,11A,12C,13B,14B,15B,16A,Hai
225,m,35,7,Sachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Leipzig,1,04347,DEU,iOS,139,2021-06-18 14:56:23,-,1A,2B,3A,4C,5C,6A,7C,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
226,f,37,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Aachen,1,52070,DEU,Android,222,2021-06-18 14:55:04,-,1A,2B,3B,4C,5A,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
227,f,46,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,Single / Ledig,Universitärer Abschluss,Realschulabschluss,Duisburg,1,47169,DEU,Android,270,2021-06-18 14:49:18,-,1A,2B,3C,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16A,Hai
228,m,37,3a,Rheinland-Pfalz,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Kaiserslautern,0,67655,DEU,iOS,137,2021-06-18 14:52:50,-,1C,2B,3B,4C,5C,6A,7A,8A,9B,10B,11A,12C,13B,14A,15B,16B,Hai
229,m,38,2,Nordrhein-Westfalen,-,-,-,-,-,-,-,Gelsenkirchen,1,45879,DEU,Android,90,2021-06-18 14:48:32,-,1A,2C,3B,4C,5B,6A,7B,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
230,m,18,2,Nordrhein-Westfalen,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Wuppertal,1,42281,DEU,android,71,2021-06-18 14:55:26,-,1B,2A,3A,4C,5B,6C,7C,8A,9B,10A,11A,12C,13A,14A,15B,16A,Hai
231,f,42,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Teisendorf,0,83317,DEU,Android,75,2021-06-18 14:53:25,-,1B,2B,3B,4B,5A,6C,7A,8A,9B,10A,11C,12C,13B,14C,15B,16A,Hai
232,f,32,6,Brandenburg,-,-,-,-,-,-,-,Carmzow-Wallmow,0,17291,DEU,iOS,196,2021-06-18 14:52:41,-,1B,2B,3C,4C,5A,6A,7A,8A,9A,10A,11C,12C,13B,14B,15C,16A,Hai
233,f,24,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Heilsbronn,0,91560,DEU,iOS,188,2021-06-18 14:47:29,-,1A,2B,3A,4B,5C,6A,7A,8A,9C,10B,11C,12A,13B,14A,15B,16A,Hai
234,f,26,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Hamburg,1,20095,DEU,Android,174,2021-06-18 14:47:59,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
235,m,57,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Hamburg,1,21075,DEU,android,133,2021-06-18 14:56:41,-,1A,2B,3A,4A,5A,6B,7B,8A,9A,10A,11B,12C,13C,14C,15B,16B,Hai
236,m,41,3a,Hessen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Offenbach,0,63071,DEU,iOS,483,2021-06-18 14:54:43,-,1C,2B,3C,4B,5C,6C,7C,8C,9C,10B,11B,12B,13A,14C,15B,16A,Hai
237,m,51,7,Sachsen,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Schkeuditz,0,04435,DEU,android,123,2021-06-18 14:57:07,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
238,m,23,1,Hamburg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Hamburg,1,21073,DEU,iOS,47,2021-06-18 14:51:13,-,1A,2A,3C,4C,5C,6A,7B,8B,9B,10C,11A,12B,13C,14A,15C,16B,Hai
239,f,30,1,Schleswig-Holstein,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Luebeck,1,23556,DEU,Android,135,2021-06-18 14:54:34,-,1A,2B,3C,4C,5A,6A,7C,8B,9C,10B,11A,12C,13B,14C,15B,16B,Hai
240,m,19,3a,Rheinland-Pfalz,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Bad Kreuznach,0,55543,DEU,android,228,2021-06-18 15:01:49,-,1A,2C,3C,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14C,15B,16B,Hai
241,f,25,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,<1000€,In einer Beziehung,(Noch) kein Abschluss,Hauptschulabschluss,Muenster,1,48167,DEU,iOS,111,2021-06-18 14:46:21,-,1A,2C,3C,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14C,15B,16A,Hai
242,f,24,4,Bayern,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Karsbach,0,97783,DEU,android,104,2021-06-18 14:46:07,-,1A,2B,3A,4C,5C,6A,7C,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
243,m,51,6,Brandenburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Eisenhuettenstadt,0,15890,DEU,iOS,66,2021-06-18 14:55:57,-,1A,2C,3A,4B,5B,6B,7C,8C,9C,10B,11C,12A,13A,14A,15C,16B,Hai
244,f,27,1,Schleswig-Holstein,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Pinneberg,0,25421,DEU,iOS,257,2021-06-18 14:53:38,-,1A,2A,3A,4C,5A,6A,7C,8C,9B,10B,11A,12C,13A,14B,15B,16A,Hai
245,m,32,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,4 Personen,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Pulheim,0,50259,DEU,iOS,121,2021-06-18 14:53:55,-,1A,2A,3B,4C,5C,6C,7A,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
246,f,27,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Tuebingen,0,72074,DEU,Android,161,2021-06-18 14:47:14,-,1A,2C,3B,4C,5C,6A,7A,8C,9C,10B,11C,12C,13B,14A,15B,16A,Hai
247,m,18,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,4000€ bis 5000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Dortmund,1,44328,DEU,iOS,105,2021-06-18 14:49:23,-,1C,2B,3B,4C,5C,6B,7C,8C,9C,10A,11C,12C,13A,14B,15C,16C,Hai
248,f,28,4,Bayern,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Wuerzburg,1,97070,DEU,iOS,219,2021-06-18 14:48:50,-,1A,2A,3A,4B,5B,6B,7B,8A,9A,10A,11B,12B,13B,14A,15C,16B,Hai
249,m,26,7,Thueringen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Ruhla,0,99842,DEU,Android,157,2021-06-18 14:57:37,-,1A,2C,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
250,f,21,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Menden,0,58708,DEU,Android,114,2021-06-18 14:49:16,-,1A,2B,3A,4C,5C,6B,7C,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
251,f,16,7,Sachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,<1000€,Single / Ledig,Universitärer Abschluss,Realschulabschluss,Wachau,0,01454,DEU,iOS,90,2021-06-18 14:47:47,-,1C,2C,3C,4C,5C,6C,7C,8B,9C,10B,11C,12C,13A,14B,15C,16B,Hai
252,f,32,4,Bayern,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Bad Toelz,0,83646,DEU,Android,312,2021-06-18 14:52:01,-,1A,2B,3C,4C,5C,6A,7A,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
253,f,47,7,Thueringen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Greiz,0,07589,DEU,iOS,111,2021-06-18 14:46:20,-,1B,2B,3A,4C,5C,6A,7A,8A,9C,10C,11C,12C,13B,14A,15C,16B,Hai
254,m,46,1,Hamburg,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Hamburg,1,22547,DEU,Android,236,2021-06-18 14:49:54,-,1A,2B,3A,4C,5C,6A,7A,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
255,f,57,1,Bremen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Bremen,1,28755,DEU,Android,128,2021-06-18 14:48:50,-,1A,2C,3C,4C,5C,6A,7A,8A,9C,10B,11A,12C,13B,14A,15B,16B,Hai
256,f,23,7,Thueringen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Erfurt,1,99085,DEU,iOS,118,2021-06-18 14:47:52,-,1A,2C,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
257,f,19,7,Thueringen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Muehlhausen,0,99974,DEU,iOS,116,2021-06-18 14:49:03,-,1A,2C,3C,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
258,f,23,1,Niedersachsen,Sonstige,Keine Kinder (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Nordhorn,0,48529,DEU,Android,91,2021-06-18 14:50:57,-,1A,2B,3A,4C,5A,6B,7C,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
259,m,63,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Ratingen,0,40883,DEU,iOS,215,2021-06-18 14:54:24,-,1A,2B,3A,4B,5C,6A,7C,8A,9A,10C,11B,12A,13C,14A,15C,16A,Hai
260,m,31,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Lengerich,0,49525,DEU,Android,94,2021-06-18 14:51:56,-,1B,2A,3A,4B,5A,6C,7A,8C,9C,10B,11B,12C,13B,14A,15A,16B,Hai
261,m,56,6,Mecklenburg-Vorpommern,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Schwerin,0,19053,DEU,Android,203,2021-06-18 14:59:34,-,1A,2B,3B,4C,5A,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
262,f,36,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Ohne Abschluss,Neustadt am Ruebenberge,0,31535,DEU,android,117,2021-06-18 14:52:07,-,1B,2B,3B,4C,5B,6B,7A,8A,9B,10A,11B,12C,13B,14A,15B,16A,Hai
263,m,33,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Realschulabschluss,Paderborn,1,33100,DEU,Android,201,2021-06-18 14:57:15,-,1A,2B,3B,4A,5A,6A,7C,8A,9B,10C,11A,12C,13B,14A,15B,16B,Hai
264,f,34,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Kirchlengern,0,32278,DEU,Android,50,2021-06-18 14:45:30,-,1A,2C,3A,4B,5A,6B,7B,8A,9C,10B,11B,12C,13A,14C,15B,16A,Hai
265,m,31,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Schwabmuenchen,0,86830,DEU,iOS,99,2021-06-18 14:55:04,-,1A,2B,3A,4C,5C,6B,7C,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
266,m,17,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,>5000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Dollnstein,0,91795,DEU,Android,198,2021-06-18 14:59:24,-,1A,2A,3C,4A,5C,6A,7C,8A,9C,10B,11C,12A,13A,14A,15C,16A,Hai
267,f,32,1,Hamburg,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Hamburg,1,22159,DEU,Android,106,2021-06-18 14:50:13,-,1A,2C,3B,4A,5B,6B,7B,8C,9A,10C,11B,12B,13C,14C,15C,16A,Hai
268,f,31,5,Berlin,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,<1000€,Single / Ledig,Universitärer Abschluss,Realschulabschluss,Berlin,1,12057,DEU,Android,306,2021-06-18 14:55:38,-,1A,2B,3C,4C,5C,6A,7A,8A,9C,10B,11C,12C,13A,14A,15B,16A,Hai
