NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.;2. Welche dieser Eiskugeln würdest du am ehesten kaufen?;3. Welche dieser Eiskugeln würdest du am ehesten kaufen?;4. Welche dieser Eiskugeln würdest du am ehesten kaufen?;5. Welche dieser Eiskugeln würdest du am ehesten kaufen?;6. Welche dieser Eiskugeln würdest du am ehesten kaufen?;7. Welche dieser Eiskugeln würdest du am ehesten kaufen?;8. Welche dieser Eiskugeln würdest du am ehesten kaufen?;9. Welche dieser Eiskugeln würdest du am ehesten kaufen?;10. Welche dieser Eiskugeln würdest du am ehesten kaufen?;11. Welche dieser Eiskugeln würdest du am ehesten kaufen?;12. Welche dieser Eiskugeln würdest du am ehesten kaufen?;13. Welche dieser Eiskugeln würdest du am ehesten kaufen?;14. Welche dieser Eiskugeln würdest du am ehesten kaufen?;15. Welche dieser Eiskugeln würdest du am ehesten kaufen?;16. Welche dieser Eiskugeln würdest du am ehesten kaufen?;17. Welche dieser Eiskugeln würdest du am ehesten kaufen?;18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!
138;f;16;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Dortmund;x;44319;DEU;iOS;150;2021-06-18 14:48:10;-;1A;2B;3C;4C;5C;6A;7A;8B;9B;10B;11A;12C;13B;14A;15B;16A;Hai
139;f;47;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Holtland;-;26835;DEU;Android;127;2021-06-18 14:49:34;-;1A;2C;3C;4C;5A;6C;7C;8B;9C;10B;11A;12C;13B;14C;15B;16B;Hai
140;m;48;1;Niedersachsen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;No degree;Lohne (Oldenburg);-;49393;DEU;Android;149;2021-06-18 15:01:35;-;1A;2C;3B;4C;5C;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
141;m;31;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Schwabmuenchen;-;86830;DEU;iOS;99;2021-06-18 14:55:04;-;1A;2B;3A;4C;5C;6B;7C;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
142;m;26;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Mannheim;x;68165;DEU;Android;98;2021-06-18 14:46:08;-;1A;2B;3B;4C;5C;6C;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
143;m;41;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Unterschleissheim;-;85716;DEU;android;324;2021-06-18 14:50:00;-;1A;2B;3A;4C;5B;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
144;m;23;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Hamburg;x;21075;DEU;Android;49;2021-06-18 14:58:35;-;1A;2A;3B;4B;5C;6C;7A;8C;9A;10C;11C;12A;13B;14B;15C;16C;Hai
145;f;49;3a;Rheinland-Pfalz;;;;;;;;Binsfeld;-;54518;DEU;Android;206;2021-06-18 14:53:28;-;1A;2B;3B;4C;5C;6C;7A;8A;9C;10A;11C;12C;13B;14C;15B;16A;Hai
146;m;46;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Norderstedt;-;22851;DEU;iOS;95;2021-06-18 14:47:17;-;1A;2B;3A;4C;5A;6A;7C;8A;9B;10B;11C;12B;13A;14C;15B;16A;Hai
147;f;53;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Schoeneck;-;61137;DEU;Android;226;2021-06-18 14:49:03;-;1A;2B;3C;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16A;Hai
148;m;21;5;Berlin;;;;;;;;Berlin;x;13353;DEU;iOS;68;2021-06-18 15:01:07;-;1B;2B;3A;4C;5B;6C;7A;8B;9C;10B;11A;12B;13C;14B;15C;16B;Hai
149;f;22;1;Niedersachsen;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;Bad Bentheim;-;48455;DEU;Android;160;2021-06-18 14:48:05;-;1A;2B;3A;4C;5A;6B;7C;8B;9B;10B;11A;12C;13B;14C;15B;16B;Hai
150;m;25;5;Berlin;;;;;;;;Berlin;x;12109;DEU;iOS;285;2021-06-18 14:57:36;-;1A;2C;3A;4B;5B;6A;7A;8B;9C;10C;11C;12A;13A;14A;15A;16A;Hai
151;f;46;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Geldern;-;47608;DEU;Android;265;2021-06-18 14:51:42;-;1A;2C;3A;4A;5C;6A;7A;8C;9C;10B;11A;12A;13A;14A;15B;16A;Hai
152;f;29;5;Berlin;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Berlin;x;10553;DEU;Android;185;2021-06-18 14:51:23;-;1A;2B;3C;4C;5C;6A;7C;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
153;m;62;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Leipzig;x;04279;DEU;Android;150;2021-06-18 15:00:37;-;1B;2A;3C;4B;5B;6C;7B;8A;9A;10A;11C;12A;13A;14B;15A;16C;Hai
154;m;28;4;Bayern;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Theisseil;-;92637;DEU;Android;76;2021-06-18 14:50:37;-;1C;2B;3A;4B;5C;6B;7B;8B;9C;10A;11C;12C;13B;14C;15A;16B;Hai
155;f;44;3a;Saarland;;;;;;;;Saarlouis;-;66740;DEU;iOS;462;2021-06-18 14:57:02;-;1A;2B;3C;4C;5A;6A;7A;8A;9C;10B;11A;12C;13B;14A;15B;16B;Hai
156;m;25;3b;Baden-Wuerttemberg;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Lenningen;-;73252;DEU;Android;137;2021-06-18 14:47:09;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14C;15B;16A;Hai
157;f;58;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Weste;-;29599;DEU;Android;172;2021-06-18 14:47:24;-;1A;2B;3A;4C;5C;6B;7A;8A;9B;10B;11C;12C;13A;14A;15B;16B;Hai
158;f;32;6;Brandenburg;;;;;;;;Carmzow-Wallmow;-;17291;DEU;iOS;196;2021-06-18 14:52:41;-;1B;2B;3C;4C;5A;6A;7A;8A;9A;10A;11C;12C;13B;14B;15C;16A;Hai
159;f;31;5;Berlin;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Realschulabschluss;Berlin;x;12057;DEU;Android;306;2021-06-18 14:55:38;-;1A;2B;3C;4C;5C;6A;7A;8A;9C;10B;11C;12C;13A;14A;15B;16A;Hai
160;m;37;3a;Rheinland-Pfalz;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Kaiserslautern;-;67655;DEU;iOS;137;2021-06-18 14:52:50;-;1C;2B;3B;4C;5C;6A;7A;8A;9B;10B;11A;12C;13B;14A;15B;16B;Hai
161;f;18;1;Schleswig-Holstein;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Wedel;-;22880;DEU;iOS;166;2021-06-18 14:47:35;-;1A;2B;3B;4C;5A;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
162;f;45;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Kirchseeon;-;85614;DEU;iOS;92;2021-06-18 14:49:24;-;1A;2C;3A;4C;5C;6A;7B;8B;9C;10B;11A;12C;13B;14C;15B;16B;Hai
163;m;21;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Villingen-Schwenningen;-;78048;DEU;iOS;123;2021-06-18 14:53:56;-;1C;2C;3C;4C;5C;6C;7B;8B;9A;10C;11C;12A;13B;14C;15B;16B;Hai
164;m;24;2;Nordrhein-Westfalen;;;;;;;;Muelheim an der Ruhr;x;45478;DEU;Android;175;2021-06-18 14:49:47;-;1A;2B;3C;4C;5A;6B;7C;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
165;f;46;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Oberursel;-;61440;DEU;Android;306;2021-06-18 14:57:53;-;1A;2B;3B;4B;5C;6B;7C;8A;9B;10C;11A;12A;13B;14A;15B;16B;Hai
166;f;17;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Kirchendemenreuth;-;92665;DEU;iOS;313;2021-06-18 14:57:10;-;1A;2B;3A;4C;5C;6C;7A;8A;9C;10B;11C;12A;13B;14C;15B;16A;Hai
167;m;27;1;Hamburg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Hamburg;x;21073;DEU;iOS;44;2021-06-18 14:49:35;-;1C;2C;3B;4A;5A;6C;7C;8B;9C;10C;11A;12A;13A;14A;15C;16B;Hai
168;f;20;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Neuss;x;41469;DEU;iOS;153;2021-06-18 14:47:20;-;1A;2B;3A;4C;5A;6B;7C;8C;9A;10C;11A;12C;13B;14A;15B;16A;Hai
169;f;36;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Holtland;-;26835;DEU;android;116;2021-06-18 14:52:25;-;1C;2B;3B;4B;5B;6C;7A;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
170;m;17;6;Brandenburg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Frankfurt (Oder);-;15234;DEU;iOS;226;2021-06-18 15:06:49;-;1A;2B;3C;4C;5C;6A;7A;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
171;f;49;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Realschulabschluss;Guetersloh;-;33332;DEU;Android;139;2021-06-18 15:00:25;-;1A;2B;3B;4C;5C;6C;7A;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
172;f;21;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Springe;-;31832;DEU;android;257;2021-06-18 14:49:44;-;1A;2B;3C;4C;5C;6B;7C;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
173;m;54;5;Berlin;Sonstige;Keine Kinder (<18) im Haushalt;4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Berlin;x;10115;DEU;Android;191;2021-06-18 15:02:06;-;1A;2B;3A;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14C;15B;16A;Hai
174;f;30;3a;Rheinland-Pfalz;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Realschulabschluss;Rheinbrohl;-;56598;DEU;Android;584;2021-06-18 15:02:16;-;1A;2A;3C;4C;5C;6A;7C;8B;9B;10A;11A;12C;13B;14C;15B;16B;Hai
175;f;34;3a;Hessen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Frankfurt am Main;x;65933;DEU;iOS;162;2021-06-18 14:53:10;-;1A;2C;3C;4C;5C;6A;7A;8B;9C;10B;11C;12C;13B;14C;15B;16A;Hai
176;f;58;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Nettetal;-;41334;DEU;Android;352;2021-06-18 14:51:40;-;1B;2C;3A;4C;5C;6A;7B;8C;9A;10B;11A;12A;13A;14C;15B;16C;Hai
177;f;33;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;12619;DEU;Android;64;2021-06-18 14:48:25;-;1A;2A;3A;4A;5A;6C;7B;8A;9A;10A;11C;12C;13B;14B;15A;16C;Hai
178;f;16;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Wolfenbuettel;-;38300;DEU;Android;171;2021-06-18 15:01:59;-;1A;2B;3C;4C;5C;6B;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
179;m;41;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Offenbach;-;63071;DEU;iOS;483;2021-06-18 14:54:43;-;1C;2B;3C;4B;5C;6C;7C;8C;9C;10B;11B;12B;13A;14C;15B;16A;Hai
180;m;36;5;Berlin;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Berlin;x;13055;DEU;iOS;180;2021-06-18 14:54:47;-;1B;2B;3B;4C;5A;6A;7C;8C;9A;10A;11B;12A;13C;14B;15B;16A;Hai
181;f;16;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Duisburg;x;47178;DEU;iOS;225;2021-06-18 14:48:29;-;1A;2B;3C;4C;5C;6C;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
182;m;16;1;Bremen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Bremen;x;28201;DEU;iOS;109;2021-06-18 15:00:34;-;1A;2B;3A;4C;5C;6B;7C;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
183;f;31;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Bad Berleburg;-;57319;DEU;android;115;2021-06-18 14:48:10;-;1A;2A;3C;4C;5A;6A;7C;8A;9C;10B;11A;12C;13A;14C;15B;16B;Hai
184;m;29;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Buehl;-;77815;DEU;android;221;2021-06-18 14:56:19;-;1A;2B;3C;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
185;f;57;1;Schleswig-Holstein;Sonstige;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;No degree;Altenmoor;-;25335;DEU;android;252;2021-06-18 14:49:27;-;1A;2B;3C;4C;5C;6A;7A;8A;9C;10B;11A;12C;13B;14A;15B;16B;Hai
186;f;38;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Muenchen;x;81377;DEU;android;114;2021-06-18 14:47:58;-;1A;2B;3C;4C;5A;6A;7A;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
187;f;35;3a;Rheinland-Pfalz;;;;;;;;Mainz;x;55126;DEU;iOS;64;2021-06-18 14:53:57;-;1A;2B;3C;4C;5C;6C;7C;8C;9A;10C;11A;12C;13B;14A;15A;16B;Hai
188;f;56;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Heilbronn;x;74081;DEU;android;288;2021-06-18 14:49:12;-;1C;2B;3C;4C;5A;6A;7C;8A;9C;10B;11A;12C;13A;14A;15B;16A;Hai
189;m;42;3a;Rheinland-Pfalz;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Realschulabschluss;Grossmaischeid;-;56276;DEU;android;220;2021-06-18 14:49:28;-;1A;2B;3A;4B;5C;6A;7A;8A;9B;10B;11C;12A;13B;14A;15B;16B;Hai
190;m;47;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Hambruecken;-;76707;DEU;Android;126;2021-06-18 14:51:14;-;1A;2B;3B;4C;5C;6B;7C;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
191;f;58;6;Sachsen-Anhalt;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Roecken;-;06686;DEU;iOS;168;2021-06-18 14:50:03;-;1A;2B;3C;4C;5C;6A;7C;8B;9B;10B;11B;12C;13B;14A;15C;16B;Hai
192;f;18;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;4000€ bis 5000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Lahr/Schwarzwald;-;77933;DEU;iOS;129;2021-06-18 14:48:21;-;1B;2C;3B;4B;5C;6A;7A;8C;9C;10B;11C;12C;13B;14A;15B;16A;Hai
193;f;40;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Burscheid;-;51399;DEU;android;196;2021-06-18 14:48:20;-;1A;2C;3A;4C;5C;6A;7A;8A;9C;10C;11C;12A;13B;14A;15B;16A;Hai
194;f;20;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Celle;-;29225;DEU;iOS;1169;2021-06-18 15:09:08;-;1A;2C;3B;4C;5A;6B;7C;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
195;f;36;7;Thueringen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Gotha;-;99867;DEU;iOS;120;2021-06-18 14:51:57;-;1A;2B;3C;4C;5C;6B;7A;8A;9C;10B;11A;12C;13B;14A;15B;16B;Hai
196;m;43;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Salzgitter;-;38229;DEU;iOS;158;2021-06-18 14:54:12;-;1A;2B;3A;4B;5C;6A;7C;8A;9B;10C;11C;12A;13B;14A;15C;16B;Hai
197;m;32;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Paderborn;x;33100;DEU;iOS;193;2021-06-18 14:48:37;-;1A;2B;3B;4C;5C;6A;7A;8A;9C;10B;11A;12C;13B;14A;15B;16A;Hai
198;m;19;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Berlin;x;10115;DEU;iOS;319;2021-06-18 14:52:29;-;1C;2B;3A;4B;5B;6A;7B;8A;9B;10B;11C;12A;13A;14A;15C;16C;Hai
199;f;33;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;14050;DEU;Android;940;2021-06-18 15:01:34;-;1A;2B;3A;4C;5C;6B;7C;8A;9B;10B;11C;12C;13A;14A;15B;16A;Hai
200;m;25;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Hamburg;x;21073;DEU;Android;103;2021-06-18 14:46:34;-;1A;2A;3C;4A;5C;6A;7A;8A;9A;10B;11A;12C;13B;14B;15B;16A;Hai
201;f;20;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Dortmund;x;44135;DEU;iOS;125;2021-06-18 14:51:08;-;1A;2B;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
202;m;30;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Aachen;x;52078;DEU;iOS;116;2021-06-18 14:52:41;-;1B;2B;3C;4B;5C;6A;7A;8A;9A;10C;11C;12C;13B;14C;15C;16A;Hai
203;m;46;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;No degree;Aurich;-;26603;DEU;Android;200;2021-06-18 14:54:56;-;1C;2C;3C;4C;5A;6A;7C;8B;9B;10A;11C;12C;13A;14A;15B;16B;Hai
204;m;30;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Augsburg;x;86156;DEU;Android;119;2021-06-18 14:48:53;-;1C;2C;3A;4C;5C;6A;7A;8A;9B;10B;11A;12C;13B;14C;15B;16A;Hai
205;m;26;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Iphofen;-;97346;DEU;iOS;108;2021-06-18 14:56:46;-;1A;2A;3A;4C;5A;6B;7C;8C;9B;10B;11A;12C;13B;14B;15B;16A;Hai
206;f;43;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Hagen;x;58089;DEU;iOS;218;2021-06-18 14:52:40;-;1A;2B;3C;4C;5C;6A;7C;8B;9C;10B;11A;12C;13B;14A;15B;16A;Hai
207;f;36;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Koeln;x;51067;DEU;Android;81;2021-06-18 14:49:10;-;1C;2A;3C;4B;5C;6A;7C;8B;9A;10A;11C;12B;13B;14A;15C;16A;Hai
208;m;21;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Marktgraitz;-;96257;DEU;Android;79;2021-06-18 14:47:01;-;1A;2A;3C;4A;5C;6B;7B;8C;9C;10C;11C;12B;13A;14A;15C;16B;Hai
209;f;32;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Ditzingen;-;71254;DEU;Android;161;2021-06-18 14:49:34;-;1A;2B;3C;4C;5C;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
